SE,ds,y,unique_id
201617,2016-04-24,2552,1
201616,2016-04-17,2002,1
201615,2016-04-10,971,1
201614,2016-04-03,807,1
201613,2016-03-27,710,1
201612,2016-03-20,591,1
201611,2016-03-13,589,1
201610,2016-03-06,608,1
201609,2016-02-28,553,1
201608,2016-02-21,531,1
201607,2016-02-14,500,1
201606,2016-02-07,411,1
201605,2016-01-31,462,1
201604,2016-01-24,367,1
201603,2016-01-17,244,1
201602,2016-01-10,235,1
201601,2016-01-03,157,1
201552,2015-12-27,55,1
201551,2015-12-20,94,1
201550,2015-12-13,114,1
201549,2015-12-06,134,1
201548,2015-11-29,128,1
201547,2015-11-22,94,1
201546,2015-11-15,80,1
201545,2015-11-08,82,1
201544,2015-11-01,66,1
201543,2015-10-25,51,1
201542,2015-10-18,85,1
201541,2015-10-11,112,1
201540,2015-10-04,109,1
201539,2015-09-27,107,1
201538,2015-09-20,120,1
201537,2015-09-13,161,1
201536,2015-09-06,173,1
201535,2015-08-30,190,1
201534,2015-08-23,220,1
201533,2015-08-16,332,1
201532,2015-08-09,400,1
201531,2015-08-02,494,1
201530,2015-07-26,537,1
201529,2015-07-19,629,1
201528,2015-07-12,1009,1
201527,2015-07-05,1059,1
201526,2015-06-28,1189,1
201525,2015-06-21,1656,1
201524,2015-06-14,1985,1
201523,2015-06-07,2150,1
201522,2015-05-31,2526,1
201521,2015-05-24,3177,1
201520,2015-05-17,4044,1
201519,2015-05-10,4081,1
201518,2015-05-03,3281,1
201517,2015-04-26,2465,1
201516,2015-04-19,2286,1
201515,2015-04-12,1431,1
201514,2015-04-05,1032,1
201513,2015-03-29,727,1
201512,2015-03-22,795,1
201511,2015-03-15,685,1
201510,2015-03-08,712,1
201509,2015-03-01,603,1
201508,2015-02-22,372,1
201507,2015-02-15,292,1
201506,2015-02-08,300,1
201505,2015-02-01,311,1
201504,2015-01-25,221,1
201503,2015-01-18,207,1
201502,2015-01-11,185,1
201501,2015-01-04,156,1
201453,2014-12-28,27,1
201452,2014-12-21,81,1
201451,2014-12-14,86,1
201450,2014-12-07,99,1
201449,2014-11-30,87,1
201448,2014-11-23,94,1
201447,2014-11-16,91,1
201446,2014-11-09,102,1
201445,2014-11-02,110,1
201444,2014-10-26,118,1
201443,2014-10-19,134,1
201442,2014-10-12,140,1
201441,2014-10-05,146,1
201440,2014-09-28,174,1
201439,2014-09-21,129,1
201438,2014-09-14,172,1
201437,2014-09-07,175,1
201436,2014-08-31,162,1
201435,2014-08-24,187,1
201434,2014-08-17,219,1
201433,2014-08-10,244,1
201432,2014-08-03,244,1
201431,2014-07-27,279,1
201430,2014-07-20,373,1
201429,2014-07-13,335,1
201428,2014-07-06,392,1
201427,2014-06-29,402,1
201426,2014-06-22,383,1
201425,2014-06-15,400,1
201424,2014-06-08,448,1
201423,2014-06-01,560,1
201422,2014-05-25,513,1
201421,2014-05-18,507,1
201420,2014-05-11,426,1
201419,2014-05-04,417,1
201418,2014-04-27,270,1
201417,2014-04-20,191,1
201416,2014-04-13,187,1
201415,2014-04-06,240,1
201414,2014-03-30,254,1
201413,2014-03-23,173,1
201412,2014-03-16,152,1
201411,2014-03-09,131,1
201410,2014-03-02,114,1
201409,2014-02-23,109,1
201408,2014-02-16,154,1
201407,2014-02-09,151,1
201406,2014-02-02,154,1
201405,2014-01-26,180,1
201404,2014-01-19,150,1
201403,2014-01-12,107,1
201402,2014-01-05,77,1
201401,2013-12-29,40,1
